model_id,rank,ensemble_weight,type,cost,duration
473,1,0.08,lda,0.4034229828850856,0.6730973720550537
713,2,0.02,lda,0.40749796251018744,0.64109206199646
546,3,0.02,lda,0.4083129584352079,0.6023504734039307
702,4,0.04,lda,0.4099429502852485,2.2634685039520264
496,5,0.02,passive_aggressive,0.41075794621026895,0.5871236324310303
620,6,0.02,lda,0.41075794621026895,1.3068857192993164
594,7,0.26,random_forest,0.4115729421352893,1.3939671516418457
28,8,0.02,lda,0.4123879380603097,0.4277474880218506
101,10,0.08,lda,0.4123879380603097,0.48923254013061523
494,11,0.1,lda,0.4123879380603097,0.6071395874023438
675,9,0.02,lda,0.4123879380603097,1.8803586959838867
711,12,0.02,lda,0.4123879380603097,2.309593677520752
592,14,0.04,lda,0.41320293398533003,0.51857590675354
669,13,0.08,lda,0.41320293398533003,0.5323286056518555
159,18,0.02,lda,0.41401792991035047,0.5088703632354736
173,16,0.02,lda,0.41401792991035047,1.2326960563659668
465,15,0.02,lda,0.41401792991035047,0.6103942394256592
619,17,0.02,lda,0.41401792991035047,0.5202305316925049
157,19,0.06,lda,0.4148329258353708,0.4474048614501953
583,20,0.04,lda,0.4148329258353708,0.5946433544158936
