model_id,rank,ensemble_weight,type,cost,duration
58,1,0.04,extra_trees,0.4436296975252062,1.4365015029907227
25,2,0.02,extra_trees,0.4463794683776352,6.94257378578186
459,3,0.54,sgd,0.45096241979835017,0.5892345905303955
478,4,0.02,extra_trees,0.45646196150320806,1.0567781925201416
487,5,0.32,sgd,0.45921173235563706,1.3902831077575684
481,6,0.02,adaboost,0.46012832263978,2.7383439540863037
92,7,0.02,extra_trees,0.46196150320806595,2.2578322887420654
138,8,0.02,lda,0.46196150320806595,0.5576596260070801
