model_id,rank,ensemble_weight,type,cost,duration
31,1,0.02,bernoulli_nb,0.44546287809349217,0.8504054546356201
149,2,0.02,sgd,0.465627864344638,0.738492488861084
58,3,0.38,sgd,0.4665444546287809,0.452345609664917
195,4,0.1,sgd,0.4683776351970669,1.0876758098602295
51,5,0.24,sgd,0.4692942254812099,0.7682473659515381
52,6,0.12,sgd,0.4692942254812099,0.8567819595336914
53,7,0.12,sgd,0.4692942254812099,2.618098258972168
