model_id,rank,ensemble_weight,type,cost,duration
756,1,0.26,extra_trees,0.4353803849679193,1.1983859539031982
761,2,0.04,extra_trees,0.43629697525206235,1.2342042922973633
878,3,0.18,extra_trees,0.43629697525206235,1.1187961101531982
588,4,0.02,extra_trees,0.4372135655362053,1.0883636474609375
990,5,0.12,extra_trees,0.4408799266727773,1.065042495727539
869,6,0.1,extra_trees,0.44179651695692024,1.1827983856201172
959,7,0.12,extra_trees,0.44179651695692024,1.2198147773742676
46,8,0.02,gaussian_nb,0.4427131072410633,0.3889806270599365
596,9,0.04,extra_trees,0.44454628780934924,1.030071496963501
612,10,0.04,extra_trees,0.44454628780934924,1.1199398040771484
802,11,0.04,extra_trees,0.44454628780934924,1.1153907775878906
833,12,0.02,extra_trees,0.44454628780934924,1.1109607219696045
