model_id,rank,ensemble_weight,type,cost,duration
260,1,0.42,mlp,0.3376342500430092,0.9632439613342285
440,2,0.02,mlp,0.3563121671857732,0.9021761417388916
313,3,0.04,mlp,0.3571092488268881,0.7396128177642822
493,4,0.02,mlp,0.361128526645768,0.8524746894836426
349,5,0.02,mlp,0.385641989589358,0.6651122570037842
506,6,0.02,mlp,0.40735579555068924,0.9263761043548584
595,7,0.02,mlp,0.4130665425779432,0.8832859992980957
109,8,0.4,mlp,0.4243313318777293,0.8099639415740967
92,9,0.04,mlp,0.4374269005847954,0.8587918281555176
