model_id,rank,ensemble_weight,type,cost,duration
60,1,0.06,mlp,0.34026107866712474,0.4592478275299072
108,29,0.04,mlp,0.34026107866712474,0.4784128665924072
110,28,0.04,mlp,0.34026107866712474,0.5638554096221924
117,27,0.06,mlp,0.34026107866712474,0.4907817840576172
125,26,0.02,mlp,0.34026107866712474,0.5301029682159424
149,25,0.06,mlp,0.34026107866712474,0.491300106048584
178,24,0.02,mlp,0.34026107866712474,0.5258035659790039
198,23,0.06,mlp,0.34026107866712474,0.4487314224243164
300,22,0.02,mlp,0.34026107866712474,0.5865597724914551
392,21,0.02,mlp,0.34026107866712474,0.5526027679443359
395,20,0.02,mlp,0.34026107866712474,0.5843276977539062
428,19,0.04,mlp,0.34026107866712474,0.46387219429016113
486,18,0.02,mlp,0.34026107866712474,0.48737597465515137
494,17,0.04,mlp,0.34026107866712474,0.4665699005126953
508,30,0.04,mlp,0.34026107866712474,0.47312235832214355
509,16,0.02,mlp,0.34026107866712474,0.49408388137817383
519,14,0.02,mlp,0.34026107866712474,0.4372107982635498
530,13,0.04,mlp,0.34026107866712474,0.5361523628234863
536,12,0.02,mlp,0.34026107866712474,0.4698922634124756
561,11,0.02,mlp,0.34026107866712474,0.4901893138885498
585,10,0.02,mlp,0.34026107866712474,0.5364291667938232
606,9,0.04,mlp,0.34026107866712474,0.4365806579589844
644,8,0.06,mlp,0.34026107866712474,0.46831774711608887
657,7,0.02,mlp,0.34026107866712474,0.4634664058685303
702,6,0.02,mlp,0.34026107866712474,0.4751322269439697
744,5,0.02,mlp,0.34026107866712474,0.4467194080352783
750,4,0.04,mlp,0.34026107866712474,0.49153804779052734
757,3,0.02,mlp,0.34026107866712474,0.4960477352142334
759,2,0.02,mlp,0.34026107866712474,0.5722384452819824
764,15,0.02,mlp,0.34026107866712474,0.4473228454589844
775,31,0.04,mlp,0.34026107866712474,0.49376416206359863
