model_id,rank,ensemble_weight,type,cost,duration
367,1,0.02,random_forest,0.28888888888888886,0.9866776466369629
375,25,0.02,random_forest,0.28888888888888886,0.9461636543273926
425,24,0.02,random_forest,0.28888888888888886,0.9495229721069336
432,23,0.02,random_forest,0.28888888888888886,1.0063893795013428
497,22,0.02,random_forest,0.28888888888888886,1.0233502388000488
509,21,0.02,random_forest,0.28888888888888886,0.9676134586334229
514,20,0.02,random_forest,0.28888888888888886,1.0169036388397217
545,19,0.04,random_forest,0.28888888888888886,0.9465427398681641
580,18,0.02,random_forest,0.28888888888888886,0.958000659942627
597,17,0.04,random_forest,0.28888888888888886,1.027249813079834
602,16,0.02,random_forest,0.28888888888888886,1.0136651992797852
617,15,0.02,random_forest,0.28888888888888886,1.042022943496704
623,26,0.02,random_forest,0.28888888888888886,1.0199353694915771
634,14,0.04,random_forest,0.28888888888888886,0.9631912708282471
640,12,0.04,random_forest,0.28888888888888886,0.9597659111022949
666,11,0.04,random_forest,0.28888888888888886,1.031999111175537
692,10,0.06,random_forest,0.28888888888888886,0.9840757846832275
697,9,0.06,random_forest,0.28888888888888886,0.9543547630310059
704,8,0.04,random_forest,0.28888888888888886,0.9552898406982422
710,7,0.08,random_forest,0.28888888888888886,0.9540910720825195
711,6,0.02,random_forest,0.28888888888888886,1.001915693283081
714,5,0.06,random_forest,0.28888888888888886,1.0159626007080078
721,4,0.08,random_forest,0.28888888888888886,1.0354301929473877
728,3,0.04,random_forest,0.28888888888888886,1.0186090469360352
735,2,0.06,random_forest,0.28888888888888886,1.0308473110198975
746,13,0.02,random_forest,0.28888888888888886,0.9541749954223633
760,27,0.06,random_forest,0.28888888888888886,0.9639453887939453
