model_id,rank,ensemble_weight,type,cost,duration
225,1,0.02,lda,0.28888888888888886,0.5912823677062988
246,2,0.04,lda,0.28888888888888886,0.45763564109802246
251,3,0.02,lda,0.28888888888888886,0.45799779891967773
262,4,0.02,lda,0.28888888888888886,0.4663960933685303
295,5,0.02,lda,0.28888888888888886,0.3936774730682373
305,6,0.02,lda,0.28888888888888886,0.44702696800231934
321,7,0.64,extra_trees,0.28888888888888886,1.1310186386108398
327,8,0.02,lda,0.28888888888888886,0.44570422172546387
329,9,0.04,lda,0.28888888888888886,0.3901393413543701
336,10,0.02,lda,0.28888888888888886,1.0102264881134033
338,11,0.02,lda,0.28888888888888886,0.7825484275817871
353,12,0.02,lda,0.28888888888888886,0.3978400230407715
382,13,0.02,lda,0.28888888888888886,0.5230693817138672
422,14,0.02,lda,0.28888888888888886,0.4499654769897461
435,15,0.02,lda,0.28888888888888886,0.4019181728363037
440,16,0.04,lda,0.28888888888888886,0.3894832134246826
