model_id,rank,ensemble_weight,type,cost,duration
286,1,0.06,lda,0.39226519337016574,1.2717669010162354
301,2,0.04,lda,0.39226519337016574,1.546370267868042
352,3,0.04,lda,0.39226519337016574,1.1424269676208496
332,5,0.08,lda,0.39779005524861877,5.503571271896362
369,4,0.16,adaboost,0.39779005524861877,1.0394012928009033
264,8,0.04,lda,0.4033149171270718,5.762451410293579
306,9,0.06,lda,0.4033149171270718,1.6433069705963135
363,7,0.02,libsvm_svc,0.4033149171270718,1.584468126296997
365,6,0.08,lda,0.4033149171270718,1.493727207183838
331,10,0.02,lda,0.4088397790055248,1.5325157642364502
340,11,0.02,lda,0.4088397790055248,5.668844699859619
192,13,0.02,lda,0.41436464088397795,5.536678791046143
411,12,0.08,lda,0.41436464088397795,1.8495831489562988
55,17,0.04,k_nearest_neighbors,0.419889502762431,0.5839507579803467
63,15,0.02,random_forest,0.419889502762431,1.2370378971099854
305,16,0.14,lda,0.419889502762431,0.9443681240081787
364,14,0.08,lda,0.419889502762431,1.2577621936798096
