;0
encode_(0, 0);0,0014492753623188248
encode_(1, 1);-0,0050724637681159755
encode_(2, 2);0,005797101449275333
encode_(3, 3);0,0014492753623188137
encode_(4, 4);-0,005797101449275399
encode_(5, 5);-2,2204460492503132e-17
encode_(6, 6);0,006521739130434745
encode_(7, 7);0,008695652173913004
encode_(8, 8);0,004347826086956485
encode_(9, 9);-2,2204460492503132e-17
encode_(10, 10);0,0028985507246376495
encode_(11, 11);-0,004347826086956552
encode_(12, 12);0,006521739130434745
encode_(13, 13);0,007971014492753581
encode_(14, 14);0,0014492753623188248
encode_(15, 15);0,020289855072463725
encode_(16, 16);0,002173913043478237
encode_(17, 17);0,01884057971014489
encode_(18, 18);0,015217391304347794
encode_(19, 19);0,01014492753623184
encode_(20, 20);-0,0007246376811594568
encode_(21, 21);-0,0028985507246377163
encode_(22, 22);0,0014492753623187916
encode_(23, 23);-0,0021739130434782926
encode_(24, 24);0,007246376811594168
encode_(25, 25);-0,002173913043478304
encode_(26, 26);0,00579710144927531
encode_(27, 27);-0,003623188405797129
encode_(28, 28);0,0
encode_(29, 29);0,013768115942028957
encode_(30, 30);0,01739130434782602
encode_(31, 31);-0,00869565217391306
encode_(32, 32);0,011594202898550676
encode_(33, 33);0,002173913043478226
encode_(34, 34);-0,004347826086956563
encode_(35, 35);0,005072463768115909
encode_(36, 36);-3,3306690738754695e-17
encode_(37, 37);-2,2204460492503132e-17
encode_(38, 38);0,0007246376811593902
encode_(39, 39);0,01956521739130429
encode_(40, 40);0,00579710144927531
encode_(41, 41);0,029710144927536188
encode_(42, 42);0,005072463768115909
encode_(43, 43);0,013768115942028947
encode_(44, 44);-0,005797101449275388
encode_(45, 45);0,005797101449275322
encode_(46, 46);0,005797101449275299
encode_(47, 47);0,015217391304347771
encode_(48, 48);0,010869565217391242
encode_(49, 49);-0,002898550724637694
encode_(50, 50);0,0007246376811594013
encode_(51, 51);0,025362318840579667
encode_(52, 52);0,0014492753623188248
encode_(53, 53);0,010144927536231852
encode_(54, 54);0,0036231884057970508
encode_(55, 55);0,004347826086956474
encode_(56, 56);0,007246376811594168
encode_(57, 57);0,010144927536231852
encode_(58, 58);0,00579710144927531
encode_(59, 59);0,003623188405797062
encode_(60, 60);-0,0007246376811594457
encode_(61, 61);-0,0007246376811594568
encode_(62, 62);0,0007246376811594013
encode_(63, 63);0,018115942028985466
encode_(64, 64);0,009420289855072417
encode_(65, 65);0,0007246376811594013
encode_(66, 66);0,018115942028985442
encode_(67, 67);0,023188405797101398
encode_(68, 68);0,0007246376811593791
encode_(69, 69);0,0
encode_(70, 70);-0,004347826086956552
encode_(71, 71);-0,0007246376811594568
encode_(72, 72);0,004347826086956464
encode_(73, 73);0,01231884057971011
encode_(74, 74);0,005797101449275322
encode_(75, 75);-0,004347826086956575
encode_(76, 76);0,010869565217391252
encode_(77, 77);0,005072463768115909
encode_(78, 78);0,01231884057971011
encode_(79, 79);-0,0014492753623188692
encode_(80, 80);-0,0021739130434782817
encode_(81, 81);-0,0014492753623188582
top_blue_champwr;0,02681159420289849
top_blue_prowr;0,01449275362318836
top_blue_gold;0,0007246376811593791
top_blue_kills;0,011594202898550666
top_blue_dmg;-0,0021739130434782817
top_blue_deaths;0,012318840579710088
jng_blue_champwr;0,018115942028985466
jng_blue_prowr;-0,002898550724637705
jng_blue_gold;-0,0021739130434782926
jng_blue_kills;0,018840579710144877
jng_blue_dmg;0,007971014492753592
jng_blue_deaths;0,011594202898550676
mid_blue_champwr;0,0007246376811594013
mid_blue_prowr;0,013768115942028935
mid_blue_gold;0,015942028985507183
mid_blue_kills;0,018115942028985456
mid_blue_dmg;0,028985507246376763
mid_blue_deaths;0,02608695652173909
bot_blue_champwr;-0,0028985507246377163
bot_blue_prowr;0,006521739130434745
bot_blue_gold;0,013043478260869523
bot_blue_kills;-3,3306690738754695e-17
bot_blue_dmg;0,06304347826086953
bot_blue_deaths;0,00724637681159418
sup_blue_champwr;0,007971014492753592
sup_blue_prowr;0,009420289855072417
sup_blue_gold;0,005072463768115909
sup_blue_kills;0,006521739130434734
sup_blue_dmg;0,008695652173912993
sup_blue_deaths;0,002173913043478226
top_red_champwr;0,0014492753623188137
top_red_prowr;0,023913043478260808
top_red_gold;0,029710144927536174
top_red_kills;0,0195652173913043
top_red_dmg;0,015942028985507208
top_red_deaths;0,016666666666666618
jng_red_champwr;-0,0021739130434782926
jng_red_prowr;0,0014492753623188027
jng_red_gold;0,004347826086956485
jng_red_kills;0,0028985507246376387
jng_red_dmg;0,015217391304347771
jng_red_deaths;0,00507246376811592
mid_red_champwr;0,005797101449275322
mid_red_prowr;0,005797101449275322
mid_red_gold;0,01449275362318836
mid_red_kills;-0,019565217391304367
mid_red_dmg;0,01449275362318836
mid_red_deaths;-0,01956521739130439
bot_red_champwr;-0,0007246376811594457
bot_red_prowr;0,01014492753623184
bot_red_gold;0,006521739130434745
bot_red_kills;0,008695652173912983
bot_red_dmg;0,005797101449275322
bot_red_deaths;0,007971014492753569
sup_red_champwr;0,005072463768115898
sup_red_prowr;-0,015942028985507273
sup_red_gold;-0,0014492753623188803
sup_red_kills;-0,002898550724637705
sup_red_dmg;0,009420289855072417
sup_red_deaths;-0,007246376811594246
