model_id,rank,ensemble_weight,type,cost,duration
265,1,0.1,mlp,0.37016574585635365,2.212339162826538
376,2,0.02,mlp,0.3812154696132597,1.7598884105682373
367,3,0.02,mlp,0.3867403314917127,1.7412710189819336
387,4,0.12,mlp,0.39226519337016574,1.6176872253417969
348,5,0.02,mlp,0.4033149171270718,2.008328914642334
266,6,0.04,mlp,0.4088397790055248,2.711031913757324
332,7,0.02,mlp,0.4088397790055248,1.3854870796203613
331,8,0.02,mlp,0.41436464088397795,1.8003220558166504
372,9,0.08,mlp,0.41436464088397795,1.2465417385101318
5,10,0.08,extra_trees,0.419889502762431,1.7039861679077148
236,11,0.46,adaboost,0.419889502762431,0.8713998794555664
386,12,0.02,mlp,0.419889502762431,1.1513261795043945
