model_id,rank,ensemble_weight,type,cost,duration
53,1,0.04,lda,0.37254901960784315,0.4203023910522461
56,2,0.06,lda,0.37254901960784315,0.5411884784698486
77,5,0.16,lda,0.37254901960784315,0.6462931632995605
132,6,0.02,lda,0.37254901960784315,0.5361382961273193
245,7,0.02,lda,0.37254901960784315,0.4649844169616699
261,4,0.02,lda,0.37254901960784315,0.6152067184448242
268,3,0.06,lda,0.37254901960784315,0.48793721199035645
242,9,0.02,passive_aggressive,0.37745098039215685,53.556506872177124
259,8,0.04,passive_aggressive,0.37745098039215685,48.52193641662598
51,10,0.06,lda,0.38235294117647056,0.5517439842224121
36,11,0.02,lda,0.38725490196078427,0.5402898788452148
47,12,0.04,lda,0.38725490196078427,0.6652073860168457
67,13,0.02,lda,0.38725490196078427,0.4748070240020752
190,15,0.04,lda,0.38725490196078427,0.6367247104644775
258,16,0.06,lda,0.38725490196078427,0.4946596622467041
273,14,0.02,passive_aggressive,0.38725490196078427,61.6523118019104
58,19,0.02,lda,0.3921568627450981,0.4352450370788574
124,18,0.02,lda,0.3921568627450981,0.5277485847473145
279,17,0.04,lda,0.3921568627450981,0.619316816329956
59,21,0.12,lda,0.3970588235294118,0.49998927116394043
145,22,0.02,passive_aggressive,0.3970588235294118,1.157104253768921
248,20,0.02,lda,0.3970588235294118,2.5892794132232666
221,23,0.04,lda,0.4019607843137255,1.76444673538208
224,24,0.02,passive_aggressive,0.4019607843137255,111.82179284095764
