model_id,rank,ensemble_weight,type,cost,duration
10,1,0.02,mlp,0.44454628780934924,2.748044967651367
138,2,0.02,extra_trees,0.44821264894592117,2.8054182529449463
36,3,0.02,bernoulli_nb,0.45004582951420713,0.6846494674682617
227,4,0.02,random_forest,0.45371219065077906,3.2565321922302246
82,5,0.06,liblinear_svc,0.46012832263978,0.46924710273742676
251,6,0.02,random_forest,0.461044912923923,4.0343334674835205
244,7,0.02,random_forest,0.46196150320806595,2.5554914474487305
158,8,0.02,liblinear_svc,0.462878093492209,0.8409256935119629
16,9,0.02,lda,0.463794683776352,1.0865836143493652
159,10,0.64,sgd,0.463794683776352,0.4977991580963135
230,11,0.1,adaboost,0.463794683776352,1.6291048526763916
64,12,0.04,liblinear_svc,0.46471127406049495,1.3852543830871582
