model_id,rank,ensemble_weight,type,cost,duration
38,1,0.6,gradient_boosting,0.9961536626302124,0.8438470363616943
5,2,0.02,gradient_boosting,1.000180134345091,0.8959672451019287
6,3,0.38,extra_trees,1.0026740984324838,3.9476261138916016
