model_id,rank,ensemble_weight,type,cost,duration
59,1,0.18,random_forest,0.40556492411467115,47.81001615524292
81,2,0.04,random_forest,0.41652613827993257,37.37816309928894
33,3,0.06,random_forest,0.4207419898819561,28.156715393066406
83,4,0.02,random_forest,0.4224283305227656,44.456669330596924
78,5,0.02,random_forest,0.42327150084317033,12.424753665924072
82,6,0.08,random_forest,0.42664418212478916,269.15647292137146
37,7,0.02,random_forest,0.427487352445194,37.831639528274536
86,8,0.02,random_forest,0.4291736930860034,40.06139826774597
23,9,0.06,mlp,0.4300168634064081,4.241602182388306
5,10,0.02,lda,0.4317032040472175,1.1370458602905273
93,11,0.04,liblinear_svc,0.4317032040472175,0.5081973075866699
28,13,0.16,adaboost,0.4325463743676222,40.95920133590698
30,12,0.02,mlp,0.4325463743676222,5.118004083633423
61,14,0.04,liblinear_svc,0.43338954468802693,0.6285219192504883
9,16,0.12,adaboost,0.43423271500843175,2.6739346981048584
26,15,0.02,random_forest,0.43423271500843175,3.1015117168426514
31,17,0.02,adaboost,0.43591905564924116,0.7233073711395264
47,18,0.02,lda,0.4418212478920742,6.1077635288238525
13,19,0.04,extra_trees,0.4426644182124789,55.20746970176697
